state_code,estimate,pop,issue_id,state_name
05,0.5969,14256301,democracy_satisfaction,Nordrhein-Westfalen
06,0.5888,4910495,democracy_satisfaction,Hessen
07,0.5882,3149298,democracy_satisfaction,Rheinland-Pfalz
08,0.5864,8784086,democracy_satisfaction,Baden-Württemberg
09,0.5706,10136201,democracy_satisfaction,Bayern
10,0.5166,809696,democracy_satisfaction,Saarland
11,0.54,2877040,democracy_satisfaction,Berlin
12,0.427,1973635,democracy_satisfaction,Brandenburg
13,0.4257,1265934,democracy_satisfaction,Mecklenburg-Vorpommern
14,0.4186,3118235,democracy_satisfaction,Sachsen
15,0.4668,1708066,democracy_satisfaction,Sachsen-Anhalt
16,0.4404,1614194,democracy_satisfaction,Thüringen
01,0.3429,2313578,trust_general,Schleswig-Holstein
02,0.4097,1431449,trust_general,Hamburg
03,0.3391,6204994,trust_general,Niedersachsen
04,0.3296,550759,trust_general,Bremen
05,0.3344,14256301,trust_general,Nordrhein-Westfalen
06,0.3362,4910495,trust_general,Hessen
07,0.3307,3149298,trust_general,Rheinland-Pfalz
08,0.3516,8784086,trust_general,Baden-Württemberg
09,0.3422,10136201,trust_general,Bayern
10,0.2977,809696,trust_general,Saarland
11,0.3937,2877040,trust_general,Berlin
12,0.3188,1973635,trust_general,Brandenburg
13,0.3047,1265934,trust_general,Mecklenburg-Vorpommern
14,0.3261,3118235,trust_general,Sachsen
15,0.2877,1708066,trust_general,Sachsen-Anhalt
16,0.3198,1614194,trust_general,Thüringen
01,0.3618,2313578,political_interest,Schleswig-Holstein
02,0.4347,1431449,political_interest,Hamburg
03,0.3411,6204994,political_interest,Niedersachsen
04,0.3692,550759,political_interest,Bremen
05,0.3449,14256301,political_interest,Nordrhein-Westfalen
06,0.3694,4910495,political_interest,Hessen
07,0.3553,3149298,political_interest,Rheinland-Pfalz
08,0.342,8784086,political_interest,Baden-Württemberg
09,0.3517,10136201,political_interest,Bayern
10,0.3689,809696,political_interest,Saarland
11,0.4318,2877040,political_interest,Berlin
12,0.3638,1973635,political_interest,Brandenburg
13,0.3516,1265934,political_interest,Mecklenburg-Vorpommern
14,0.336,3118235,political_interest,Sachsen
15,0.3551,1708066,political_interest,Sachsen-Anhalt
16,0.3465,1614194,political_interest,Thüringen
01,0.395,2313578,fear_climate,Schleswig-Holstein
02,0.414,1431449,fear_climate,Hamburg
03,0.3908,6204994,fear_climate,Niedersachsen
04,0.4007,550759,fear_climate,Bremen
05,0.3914,14256301,fear_climate,Nordrhein-Westfalen
06,0.3865,4910495,fear_climate,Hessen
07,0.375,3149298,fear_climate,Rheinland-Pfalz
08,0.3751,8784086,fear_climate,Baden-Württemberg
09,0.367,10136201,fear_climate,Bayern
10,0.3709,809696,fear_climate,Saarland
11,0.3927,2877040,fear_climate,Berlin
12,0.344,1973635,fear_climate,Brandenburg
13,0.3343,1265934,fear_climate,Mecklenburg-Vorpommern
14,0.3143,3118235,fear_climate,Sachsen
15,0.3279,1708066,fear_climate,Sachsen-Anhalt
16,0.3222,1614194,fear_climate,Thüringen
01,0.3249,2313578,fear_economy,Schleswig-Holstein
02,0.303,1431449,fear_economy,Hamburg
03,0.3318,6204994,fear_economy,Niedersachsen
04,0.3337,550759,fear_economy,Bremen
05,0.3296,14256301,fear_economy,Nordrhein-Westfalen
06,0.3278,4910495,fear_economy,Hessen
07,0.3383,3149298,fear_economy,Rheinland-Pfalz
08,0.3278,8784086,fear_economy,Baden-Württemberg
09,0.3348,10136201,fear_economy,Bayern
10,0.3525,809696,fear_economy,Saarland
11,0.3177,2877040,fear_economy,Berlin
12,0.3554,1973635,fear_economy,Brandenburg
13,0.3701,1265934,fear_economy,Mecklenburg-Vorpommern
14,0.3707,3118235,fear_economy,Sachsen
15,0.38,1708066,fear_economy,Sachsen-Anhalt
16,0.3681,1614194,fear_economy,Thüringen
01,0.2653,2313578,gov_performance,Schleswig-Holstein
02,0.2627,1431449,gov_performance,Hamburg
03,0.2601,6204994,gov_performance,Niedersachsen
04,0.2332,550759,gov_performance,Bremen
05,0.2658,14256301,gov_performance,Nordrhein-Westfalen
06,0.2511,4910495,gov_performance,Hessen
07,0.2538,3149298,gov_performance,Rheinland-Pfalz
08,0.2676,8784086,gov_performance,Baden-Württemberg
09,0.258,10136201,gov_performance,Bayern
10,0.2312,809696,gov_performance,Saarland
11,0.241,2877040,gov_performance,Berlin
12,0.2403,1973635,gov_performance,Brandenburg
13,0.2252,1265934,gov_performance,Mecklenburg-Vorpommern
14,0.2353,3118235,gov_performance,Sachsen
15,0.2229,1708066,gov_performance,Sachsen-Anhalt
16,0.2322,1614194,gov_performance,Thüringen
01,0.4572,2313578,media_biased,Schleswig-Holstein
02,0.4452,1431449,media_biased,Hamburg
03,0.4651,6204994,media_biased,Niedersachsen
04,0.464,550759,media_biased,Bremen
05,0.4674,14256301,media_biased,Nordrhein-Westfalen
06,0.4639,4910495,media_biased,Hessen
07,0.4976,3149298,media_biased,Rheinland-Pfalz
08,0.5022,8784086,media_biased,Baden-Württemberg
09,0.5148,10136201,media_biased,Bayern
10,0.5026,809696,media_biased,Saarland
11,0.4907,2877040,media_biased,Berlin
12,0.5214,1973635,media_biased,Brandenburg
13,0.5198,1265934,media_biased,Mecklenburg-Vorpommern
14,0.5725,3118235,media_biased,Sachsen
15,0.5444,1708066,media_biased,Sachsen-Anhalt
16,0.5534,1614194,media_biased,Thüringen
01,0.3364,2313578,immigration_culture_threat,Schleswig-Holstein
02,0.276,1431449,immigration_culture_threat,Hamburg
03,0.3449,6204994,immigration_culture_threat,Niedersachsen
04,0.3129,550759,immigration_culture_threat,Bremen
05,0.3366,14256301,immigration_culture_threat,Nordrhein-Westfalen
06,0.3342,4910495,immigration_culture_threat,Hessen
07,0.3591,3149298,immigration_culture_threat,Rheinland-Pfalz
08,0.355,8784086,immigration_culture_threat,Baden-Württemberg
09,0.3711,10136201,immigration_culture_threat,Bayern
10,0.3601,809696,immigration_culture_threat,Saarland
11,0.2886,2877040,immigration_culture_threat,Berlin
12,0.3772,1973635,immigration_culture_threat,Brandenburg
13,0.4003,1265934,immigration_culture_threat,Mecklenburg-Vorpommern
14,0.4041,3118235,immigration_culture_threat,Sachsen
15,0.4157,1708066,immigration_culture_threat,Sachsen-Anhalt
16,0.4077,1614194,immigration_culture_threat,Thüringen
01,0.5138,2313578,immigration_econ_good,Schleswig-Holstein
02,0.5733,1431449,immigration_econ_good,Hamburg
03,0.5072,6204994,immigration_econ_good,Niedersachsen
04,0.5349,550759,immigration_econ_good,Bremen
05,0.5112,14256301,immigration_econ_good,Nordrhein-Westfalen
06,0.5154,4910495,immigration_econ_good,Hessen
07,0.4889,3149298,immigration_econ_good,Rheinland-Pfalz
08,0.4939,8784086,immigration_econ_good,Baden-Württemberg
09,0.4777,10136201,immigration_econ_good,Bayern
10,0.4817,809696,immigration_econ_good,Saarland
11,0.5527,2877040,immigration_econ_good,Berlin
12,0.465,1973635,immigration_econ_good,Brandenburg
13,0.441,1265934,immigration_econ_good,Mecklenburg-Vorpommern
14,0.4287,3118235,immigration_econ_good,Sachsen
15,0.4221,1708066,immigration_econ_good,Sachsen-Anhalt
16,0.4271,1614194,immigration_econ_good,Thüringen
01,0.2626,2313578,fossil_fuel_levy,Schleswig-Holstein
